Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,latitude,longitude,Num_of_Baskets
19/10/2015,20:17:50,malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,2.9123164195153914,101.65794781008773,1.0
19/10/2015,20:28:42,,male,thin,32.0,no,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,,6,9,no,2.9225060265950455,101.64312940952153,3.0
19/10/2015,20:58:31,malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,,4,10,no,2.9355333900928384,101.73716975803825,1.0
19/10/2015,21:31:28,indian,male,thin,51.0,no,no_kids,,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,2.949923904439917,101.63706899990746,1.0
19/10/2015,21:40:28,indian,male,,34.0,no,no_kids,big,blue,casual,blue,,white,long,clothes,3,9,,2.9035297330463172,101.66124925443047,3.0
19/10/2015,23:45:38,,male,fat,50.0,no,no_kids,,,casual,brown,,blue_jeans,long,clothes,4,8,no,2.928514230771325,101.72063995706057,3.0
19/10/2015,23:53:38,,female,fat,45.0,no,no_kids,big,pink,traditional,blue,,black,long,clothes,5,10,no,2.9707833407989015,101.67445867947617,2.0
20/10/2015,0:24:01,indian,male,thin,49.0,,,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,,2.9511764574141783,101.74652639642044,3.0
20/10/2015,0:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,,short_sleeve,black,short,,6,10,no,2.955301617964108,101.70396077444003,2.0
20/10/2015,1:17:50,chinese,,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,,5,7,no,2.9086063996560214,101.66682252850323,3.0
20/10/2015,3:07:16,,female,,45.0,no,no_kids,big,red,,,short_sleeve,grey,short,,4,8,no,2.9670333126100563,101.6523208460179,3.0
20/10/2015,7:23:12,,male,moderate,37.0,no,no_kids,big,blue,casual,brown,short_sleeve,,long,,4,8,,2.962150971942546,101.71109642739951,3.0
20/10/2015,7:23:12,malay,female,moderate,,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,2.9287682343650903,101.6912620986823,3.0
20/10/2015,9:06:14,,male,moderate,32.0,no,no_kids,big,yellow,,yellow,short_sleeve,black,long,clothes,3,9,yes,2.941112410788132,101.71320032127603,1.0
20/10/2015,10:05:17,malay,female,moderate,55.0,yes,young,big,red,,brown,long sleeve,grey,long,clothes,3,8,yes,2.9392762973898354,101.64426017849493,3.0
20/10/2015,10:41:35,,male,thin,33.0,no,no_kids,big,brown,formal,,long sleeve,brown,long,,5,9,,2.957245277181734,101.6766782955837,1.0
20/10/2015,10:49:31,malay,female,thin,55.0,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,2.970509738562237,101.66211146809478,1.0
