,Date,Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,latitude,longitude,Num_of_Baskets,Binned_Age_Range
0,19/10/2015,20:17:50,malay,male,moderate,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,2.9123164195153914,101.65794781008772,1.0,"(20, 30]"
1,19/10/2015,20:28:42,malay,male,thin,no,no_kids,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,6,9,no,2.922506026595045,101.64312940952152,3.0,"(30, 40]"
2,19/10/2015,20:58:31,malay,female,moderate,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,4,10,no,2.9355333900928384,101.73716975803823,1.0,"(20, 30]"
3,19/10/2015,21:31:28,indian,male,thin,no,no_kids,big,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,2.949923904439917,101.63706899990746,1.0,"(50, 60]"
4,19/10/2015,21:40:28,indian,male,moderate,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,2.903529733046317,101.66124925443049,3.0,"(30, 40]"
5,19/10/2015,23:45:38,malay,male,fat,no,no_kids,big,white,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,no,2.928514230771325,101.72063995706056,3.0,"(40, 50]"
6,19/10/2015,23:53:38,malay,female,fat,no,no_kids,big,pink,traditional,blue,short_sleeve,black,long,clothes,5,10,no,2.970783340798901,101.67445867947616,2.0,"(40, 50]"
7,20/10/2015,0:24:01,indian,male,thin,no,no_kids,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,no,2.9511764574141783,101.74652639642044,3.0,"(40, 50]"
8,20/10/2015,0:45:19,indian,male,thin,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no,2.955301617964108,101.70396077444003,2.0,"(20, 30]"
9,20/10/2015,1:17:50,chinese,female,moderate,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,clothes,5,7,no,2.9086063996560214,101.66682252850325,3.0,"(30, 40]"
10,20/10/2015,3:07:16,malay,female,moderate,no,no_kids,big,red,casual,white,short_sleeve,grey,short,clothes,4,8,no,2.9670333126100563,101.6523208460179,3.0,"(40, 50]"
11,20/10/2015,7:23:12,malay,male,moderate,no,no_kids,big,blue,casual,brown,short_sleeve,black,long,clothes,4,8,no,2.962150971942546,101.71109642739953,3.0,"(30, 40]"
13,20/10/2015,9:06:14,malay,male,moderate,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes,2.941112410788132,101.71320032127603,1.0,"(30, 40]"
14,20/10/2015,10:05:17,malay,female,moderate,yes,young,big,red,casual,brown,long sleeve,grey,long,clothes,3,8,yes,2.9392762973898354,101.64426017849492,3.0,"(50, 60]"
15,20/10/2015,10:41:35,malay,male,thin,no,no_kids,big,brown,formal,white,long sleeve,brown,long,clothes,5,9,no,2.957245277181734,101.6766782955837,1.0,"(30, 40]"
16,20/10/2015,10:49:31,malay,female,thin,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,2.970509738562237,101.66211146809478,1.0,"(50, 60]"
18,20/10/2015,11:13:26,malay,female,fat,yes,no_kids,big,blue,traditional,white,long sleeve,orange,long,clothes,6,7,no,2.943176548767781,101.73465635259636,1.0,"(50, 60]"
19,20/10/2015,11:19:20,malay,female,moderate,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,2.915475549026552,101.6616564001134,2.0,"(40, 50]"
20,20/10/2015,11:27:26,indian,male,fat,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,2.9438314389351303,101.68238141127824,1.0,"(30, 40]"
21,20/10/2015,11:27:57,malay,male,moderate,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,2.93443373805372,101.72585926862752,1.0,"(50, 60]"
22,20/10/2015,11:28:43,malay,female,fat,yes,young,big,white,casual,red,short_sleeve,blue  ,long,blankets,3,7,no,2.9677667740417064,101.68558205587053,1.0,"(30, 40]"
