Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
19/10/2015,20:17:50,malay,male,moderate,28,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20,2,9,2.91231642,101.6579478,1
19/10/2015,20:28:42,,male,thin,32,no,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,,6,9,no,19,4,21,2.922506027,101.6431294,3
19/10/2015,20:58:31,malay,female,moderate,30,no,no_kids,big,blue,casual,red,short_sleeve,black,long,,4,10,no,18,2,13,2.93553339,101.7371698,1
19/10/2015,21:31:28,indian,male,thin,51,no,no_kids,,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13,2,16,2.949923904,101.637069,1
19/10/2015,21:40:28,indian,male,,34,no,no_kids,big,blue,casual,blue,,white,long,clothes,3,9,,15,1,13,2.903529733,101.6612493,3
19/10/2015,23:45:38,,male,fat,50,no,no_kids,,,casual,brown,,blue_jeans,long,clothes,4,8,no,35,5,16,2.928514231,101.72064,3
19/10/2015,23:53:38,,female,fat,45,no,no_kids,big,pink,traditional,blue,,black,long,clothes,5,10,no,30,3,17,2.970783341,101.6744587,2
20/10/2015,0:24:01,indian,male,thin,49,,,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,,46,0,16,2.951176457,101.7465264,3
20/10/2015,0:45:19,indian,male,thin,30,no,no_kids,small,purple,casual,,short_sleeve,black,short,,6,10,no,60,4,17,2.955301618,101.7039608,2
20/10/2015,1:17:50,chinese,,moderate,33,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,,5,7,no,23,0,10,2.9086064,101.6668225,3
20/10/2015,3:07:16,,female,,45,no,no_kids,big,red,,,short_sleeve,grey,short,,4,8,no,56,2,21,2.967033313,101.6523208,3
20/10/2015,7:23:12,,male,moderate,37,no,no_kids,big,blue,casual,brown,short_sleeve,,long,,4,8,,,5,18,2.962150972,101.7110964,3
20/10/2015,7:23:12,malay,female,moderate,,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,15,1,7,2.928768234,101.6912621,3
20/10/2015,9:06:14,,male,moderate,32,no,no_kids,big,yellow,,yellow,short_sleeve,black,long,clothes,3,9,yes,15,2,7,2.941112411,101.7132003,1
20/10/2015,10:05:17,malay,female,moderate,55,yes,young,big,red,,brown,long sleeve,grey,long,clothes,3,8,yes,23,1,11,2.939276297,101.6442602,3
20/10/2015,10:41:35,,male,thin,33,no,no_kids,big,brown,formal,,long sleeve,brown,long,,5,9,,39,0,9,2.957245277,101.6766783,1
20/10/2015,10:49:31,malay,female,thin,55,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,46,,11,2.970509739,101.6621115,1
20/10/2015,10:57:47,malay,male,fat,,yes,toddler,big,,,grey,,grey,long,clothes,5,9,no,53,3,,2.921546642,101.6680438,
20/10/2015,11:13:26,malay,female,fat,55,yes,,big,blue,traditional,,long sleeve,orange,long,clothes,6,7,,48,2,16,2.943176549,101.7346564,1
20/10/2015,11:19:20,malay,female,moderate,50,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,35,,8,2.915475549,101.6616564,2
20/10/2015,11:27:26,indian,male,fat,34,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,,5,17,2.943831439,101.6823814,1
