Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,weather,Day,Month,Year
19/10/2015,Evening,malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,2.0,9.0,2.91231642,101.6579478,1.0,Clear,Monday,October,2015
19/10/2015,Evening,malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,4,10,no,18.0,2.0,13.0,2.93553339,101.7371698,1.0,Clear,Monday,October,2015
19/10/2015,Evening,indian,male,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13.0,2.0,16.0,2.949923904,101.637069,1.0,Clear,Monday,October,2015
19/10/2015,Evening,indian,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,15.0,1.0,13.0,2.903529733,101.6612493,3.0,Clear,Monday,October,2015
20/10/2015,Night,indian,male,thin,49.0,no,no_kids,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,no,46.0,0.0,16.0,2.951176457,101.7465264,3.0,Clear,Tuesday,October,2015
20/10/2015,Night,indian,male,thin,30.0,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no,60.0,4.0,17.0,2.955301618,101.7039608,2.0,Clear,Tuesday,October,2015
20/10/2015,Morning,malay,female,moderate,39.320760068065795,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,15.0,1.0,7.0,2.928768234,101.6912621,3.0,Clear,Tuesday,October,2015
20/10/2015,Morning,malay,female,moderate,55.0,yes,young,big,red,casual,brown,long sleeve,grey,long,clothes,3,8,yes,23.0,1.0,11.0,2.939276297,101.6442602,3.0,Clear,Tuesday,October,2015
20/10/2015,Morning,malay,female,thin,55.0,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,46.0,0.0,11.0,2.970509739,101.6621115,1.0,Clear,Tuesday,October,2015
20/10/2015,Morning,malay,male,fat,39.320760068065795,yes,toddler,big,white,casual,grey,short_sleeve,grey,long,clothes,5,9,no,53.0,3.0,0.0,2.921546642,101.6680438,1.0,Clear,Tuesday,October,2015
20/10/2015,Morning,malay,female,fat,55.0,yes,no_kids,big,blue,traditional,white,long sleeve,orange,long,clothes,6,7,no,48.0,2.0,16.0,2.943176549,101.7346564,1.0,Clear,Tuesday,October,2015
20/10/2015,Morning,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,35.0,0.0,8.0,2.915475549,101.6616564,2.0,Clear,Tuesday,October,2015
20/10/2015,Morning,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,35.57337788916736,5.0,17.0,2.943831439,101.6823814,1.0,Clear,Tuesday,October,2015
20/10/2015,Morning,malay,female,fat,38.0,yes,young,big,white,casual,red,short_sleeve,blue  ,long,blankets,3,7,no,16.0,2.0,0.0,2.967766774,101.6855821,1.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,chinese,female,thin,29.0,no,no_kids,small,white,casual,brown,short_sleeve,black ,long,clothes,3,7,yes,54.0,3.0,10.0,2.951222745,101.7235245,3.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,chinese,female,moderate,44.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,5,7,no,30.0,0.0,20.0,2.939402932,101.6633933,1.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,chinese,female,moderate,42.0,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22.0,2.0,13.0,2.947776713,101.6978995,3.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,chinese,male,thin,41.0,no,no_kids,big,white,casual,black,short_sleeve,brown,long,clothes,6,9,no,50.0,3.0,18.0,2.9662059,101.6346878,1.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,indian,male,fat,39.320760068065795,no,no_kids,big,white,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,no,60.0,3.0,19.0,2.904241872,101.6693722,2.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,indian,male,thin,42.0,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,clothes,6,9,no,34.0,3.0,12.0,2.953809463,101.6864277,1.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,malay,female,fat,32.0,no,no_kids,big,purple,casual,white,short_sleeve,black,long,clothes,3,7,no,58.0,0.0,10.0,2.971703373,101.6786169,2.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,chinese,male,thin,40.0,yes,toddler,big,red,casual,white,short_sleeve,white,short,clothes,5,9,yes,54.0,2.0,18.0,2.925992147,101.7259705,2.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,foreigner ,male,moderate,39.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no,43.0,5.0,17.0,2.94146915,101.7094355,1.0,Clear,Tuesday,October,2015
20/10/2015,Afternoon,chinese,male,thin,46.0,no,no_kids,big,red,casual,purple,short_sleeve,black,long,clothes,4,7,no,56.0,1.0,15.0,2.932691012,101.6432777,2.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,female,thin,46.0,no,no_kids,small,white,casual,white,short_sleeve,grey,long,clothes,6,10,no,16.0,1.0,20.0,2.943731299,101.7349606,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,long,clothes,4,7,yes,41.0,1.0,17.0,2.932445148,101.7365378,2.0,Clear,Tuesday,October,2015
20/10/2015,Evening,chinese,female,thin,35.0,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31.0,3.0,9.0,2.938365035,101.7021395,2.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,female,moderate,41.0,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38.0,5.0,9.0,2.961409415,101.6954655,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,female,fat,31.0,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51.0,4.0,18.0,2.909508314,101.7448743,2.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,23.0,1.0,18.0,2.920341513,101.7127793,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,clothes,4,8,no,37.0,5.0,12.0,2.938475943,101.6852813,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,foreigner ,female,moderate,46.0,no,no_kids,small,white,formal,grey,long sleeve,black,long,blankets,3,7,no,53.0,2.0,11.0,2.962275698,101.6918951,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,male,fat,39.320760068065795,no,no_kids,big,white,casual,red,short_sleeve,black,short,clothes,5,7,no,50.0,5.0,14.0,2.938229596,101.7328228,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,male,moderate,49.0,no,no_kids,big,red,casual,white,short_sleeve,black,short,clothes,4,8,no,31.0,3.0,14.0,2.919551168,101.668476,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,male,fat,48.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,5,10,no,32.0,5.0,11.0,2.916453312,101.7460087,2.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,female,fat,42.0,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55.0,4.0,15.0,2.91001756,101.6719134,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,20.0,4.0,16.0,2.965581773,101.6384887,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,foreigner ,male,moderate,38.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,8,no,40.0,5.0,14.0,2.914720246,101.7026826,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,chinese,female,thin,39.0,no,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15.0,2.0,13.0,2.94670685,101.727935,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,male,thin,29.0,yes,toddler,big,black,casual,white,short_sleeve,blue_jeans,long,clothes,3,10,no,31.0,0.0,18.0,2.921287496,101.6791926,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36.0,0.0,11.0,2.903208575,101.6367534,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,female,fat,29.0,yes,young,small,white,casual,brown,short_sleeve,blue,long,clothes,5,8,no,56.0,4.0,21.0,2.918987501,101.6855577,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44.0,0.0,14.0,2.920738346,101.7324981,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,male,thin,28.0,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,60.0,3.0,16.0,2.97132764,101.6818507,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,female,moderate,55.0,no,baby,small,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,60.0,5.0,14.0,2.919032094,101.6630788,1.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,male,thin,33.0,no,no_kids,small,white,casual,white,short_sleeve,black,long,clothes,5,10,no,27.0,0.0,8.0,2.957446652,101.6609054,3.0,Clear,Tuesday,October,2015
20/10/2015,Evening,indian,male,moderate,49.0,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,38.0,3.0,21.0,2.929765556,101.685258,2.0,Clear,Tuesday,October,2015
20/10/2015,Evening,malay,male,thin,42.0,no,no_kids,small,red,casual,brown,long sleeve,black,long,blankets,4,8,no,24.0,3.0,19.0,2.943371984,101.7466686,2.0,Clear,Tuesday,October,2015
20/10/2015,Night,malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26.0,2.0,16.0,2.919387484,101.6704071,2.0,Clear,Tuesday,October,2015
21/10/2015,Morning,malay,male,thin,32.0,no,no_kids,small,white,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,12.0,3.0,9.0,2.954092424,101.6897865,1.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,chinese,male,thin,40.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,9,yes,49.0,0.0,21.0,2.93563453,101.6424992,3.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,malay,female,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,27.0,1.0,7.0,2.92845186,101.6737553,2.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,chinese,male,thin,54.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,8,no,15.0,0.0,11.0,2.969405623,101.6598108,2.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,malay,female,thin,39.320760068065795,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,60.0,2.0,21.0,2.936189794,101.7247492,1.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,malay,male,moderate,39.320760068065795,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,54.0,4.0,21.0,2.960194395,101.7175065,2.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,50.0,5.0,7.0,2.923278148,101.6872035,2.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,malay,female,moderate,48.0,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,35.0,1.0,13.0,2.933630644,101.7161121,1.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,chinese,female,thin,39.320760068065795,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,45.0,1.0,19.0,2.939977736,101.7336849,1.0,Clear,Wednesday,October,2015
21/10/2015,Afternoon,malay,female,moderate,42.0,yes,toddler,big,blue,casual,purple,long sleeve,purple,long,blankets,4,8,no,48.0,0.0,12.0,2.96126395,101.6322195,1.0,Clear,Wednesday,October,2015
21/10/2015,Evening,malay,female,fat,40.0,no,no_kids,big,white,casual,brown,long sleeve,brown,long,clothes,6,8,no,15.0,0.0,17.0,2.970403509,101.6312264,1.0,Clear,Wednesday,October,2015
21/10/2015,Evening,malay,female,moderate,53.0,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,26.0,5.0,16.0,2.940293857,101.6527689,2.0,Clear,Wednesday,October,2015
21/10/2015,Evening,indian,male,fat,49.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,48.0,0.0,7.0,2.906898887,101.6981818,1.0,Clear,Wednesday,October,2015
21/10/2015,Evening,malay,male,thin,52.0,no,no_kids,big,black,traditional,white,long sleeve,brown,long,clothes,6,10,no,55.0,1.0,13.0,2.957185786,101.7204164,1.0,Clear,Wednesday,October,2015
21/10/2015,Evening,malay,male,thin,32.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,43.0,4.0,18.0,2.90526394,101.6767583,1.0,Clear,Wednesday,October,2015
21/10/2015,Evening,chinese,male,moderate,34.0,no,no_kids,big,blue,casual,white,short_sleeve,red,short,clothes,5,9,yes,50.0,3.0,13.0,2.906258654,101.6578782,1.0,Clear,Wednesday,October,2015
21/10/2015,Evening,indian,male,thin,35.0,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,46.0,5.0,14.0,2.916636583,101.6540031,2.0,Clear,Wednesday,October,2015
22/10/2015,Morning,malay,female,moderate,49.0,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,46.0,3.0,14.0,2.926865293,101.6613881,1.0,Clear,Thursday,October,2015
22/10/2015,Morning,malay,female,fat,33.0,no,no_kids,big,white,casual,blue,long sleeve,black,long,clothes,5,7,no,55.0,2.0,21.0,2.970452804,101.6702865,3.0,Clear,Thursday,October,2015
22/10/2015,Morning,malay,female,moderate,55.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,58.0,1.0,9.0,2.96568898,101.6499519,3.0,Clear,Thursday,October,2015
22/10/2015,Morning,chinese,female,moderate,39.320760068065795,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,36.0,0.0,14.0,2.956566257,101.6357485,1.0,Clear,Thursday,October,2015
22/10/2015,Morning,malay,male,moderate,55.0,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37.0,5.0,21.0,2.935513585,101.629123,3.0,Clear,Thursday,October,2015
22/10/2015,Morning,malay,female,thin,49.0,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,55.0,3.0,19.0,2.959821806,101.7412559,1.0,Clear,Thursday,October,2015
22/10/2015,Morning,malay,male,thin,46.0,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21.0,1.0,15.0,2.905601006,101.7392814,1.0,Clear,Thursday,October,2015
22/10/2015,Afternoon,foreigner ,female,moderate,41.0,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,56.0,2.0,16.0,2.957273201,101.6710524,1.0,Clear,Thursday,October,2015
22/10/2015,Afternoon,malay,male,fat,41.0,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,3,10,no,29.0,5.0,15.0,2.93177387,101.6399451,1.0,Clear,Thursday,October,2015
22/10/2015,Afternoon,malay,female,moderate,34.0,no,no_kids,small,white,casual,red,short_sleeve,purple,long,clothes,4,7,no,20.0,2.0,15.0,2.937062467,101.7095382,3.0,Clear,Thursday,October,2015
22/10/2015,Afternoon,malay,female,fat,40.0,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,30.0,0.0,7.0,2.960587491,101.6462615,2.0,Clear,Thursday,October,2015
22/10/2015,Evening,indian,male,fat,44.0,no,no_kids,small,white,casual,white,short_sleeve,grey,short,clothes,5,7,no,25.0,2.0,14.0,2.955890826,101.7137964,1.0,Clear,Thursday,October,2015
