,date,hour,desc
0,2015-01-01,0,Mist
1,2015-01-01,300,Mist
2,2015-01-01,600,Overcast
3,2015-01-01,900,Patchy rain possible
4,2015-01-01,1200,Partly cloudy
5,2015-01-01,1500,Partly cloudy
6,2015-01-01,1800,Clear
7,2015-01-01,2100,Cloudy
8,2015-01-02,0,Clear
9,2015-01-02,300,Clear
10,2015-01-02,600,Partly cloudy
11,2015-01-02,900,Sunny
12,2015-01-02,1200,Partly cloudy
13,2015-01-02,1500,Patchy rain possible
14,2015-01-02,1800,Light rain shower
15,2015-01-02,2100,Partly cloudy
16,2015-01-03,0,Mist
17,2015-01-03,300,Partly cloudy
18,2015-01-03,600,Partly cloudy
19,2015-01-03,900,Partly cloudy
20,2015-01-03,1200,Patchy rain possible
21,2015-01-03,1500,Moderate or heavy rain shower
22,2015-01-03,1800,Clear
23,2015-01-03,2100,Patchy rain possible
24,2015-01-04,0,Patchy rain possible
25,2015-01-04,300,Partly cloudy
26,2015-01-04,600,Sunny
27,2015-01-04,900,Partly cloudy
28,2015-01-04,1200,Light rain shower
29,2015-01-04,1500,Moderate or heavy rain shower
30,2015-01-04,1800,Partly cloudy
31,2015-01-04,2100,Partly cloudy
32,2015-01-05,0,Partly cloudy
33,2015-01-05,300,Partly cloudy
34,2015-01-05,600,Partly cloudy
35,2015-01-05,900,Partly cloudy
36,2015-01-05,1200,Cloudy
37,2015-01-05,1500,Moderate or heavy rain shower
38,2015-01-05,1800,Moderate or heavy rain shower
39,2015-01-05,2100,Patchy rain possible
40,2015-01-06,0,Mist
41,2015-01-06,300,Light rain shower
42,2015-01-06,600,Partly cloudy
43,2015-01-06,900,Sunny
44,2015-01-06,1200,Patchy rain possible
45,2015-01-06,1500,Moderate or heavy rain shower
46,2015-01-06,1800,Light rain shower
47,2015-01-06,2100,Light rain shower
48,2015-01-07,0,Light rain shower
49,2015-01-07,300,Light rain shower
50,2015-01-07,600,Mist
51,2015-01-07,900,Patchy light drizzle
52,2015-01-07,1200,Patchy rain possible
53,2015-01-07,1500,Moderate or heavy rain shower
54,2015-01-07,1800,Light rain shower
55,2015-01-07,2100,Patchy light rain
56,2015-01-08,0,Light drizzle
57,2015-01-08,300,Moderate or heavy rain shower
58,2015-01-08,600,Mist
59,2015-01-08,900,Patchy light drizzle
60,2015-01-08,1200,Patchy rain possible
61,2015-01-08,1500,Moderate or heavy rain shower
62,2015-01-08,1800,Mist
63,2015-01-08,2100,Heavy rain
64,2015-01-09,0,Fog
65,2015-01-09,300,Patchy light rain
66,2015-01-09,600,Patchy light rain
67,2015-01-09,900,Patchy light drizzle
68,2015-01-09,1200,Patchy light drizzle
69,2015-01-09,1500,Patchy light drizzle
70,2015-01-09,1800,Patchy light drizzle
71,2015-01-09,2100,Mist
72,2015-01-10,0,Mist
73,2015-01-10,300,Mist
74,2015-01-10,600,Mist
75,2015-01-10,900,Patchy rain possible
76,2015-01-10,1200,Light rain shower
77,2015-01-10,1500,Patchy rain possible
78,2015-01-10,1800,Light rain shower
79,2015-01-10,2100,Partly cloudy
80,2015-01-11,0,Partly cloudy
81,2015-01-11,300,Mist
82,2015-01-11,600,Mist
83,2015-01-11,900,Patchy rain possible
84,2015-01-11,1200,Light rain shower
85,2015-01-11,1500,Moderate or heavy rain shower
86,2015-01-11,1800,Light rain shower
87,2015-01-11,2100,Patchy rain possible
88,2015-01-12,0,Patchy rain possible
89,2015-01-12,300,Patchy rain possible
90,2015-01-12,600,Mist
91,2015-01-12,900,Sunny
92,2015-01-12,1200,Sunny
93,2015-01-12,1500,Patchy rain possible
94,2015-01-12,1800,Light rain shower
95,2015-01-12,2100,Light rain shower
96,2015-01-13,0,Patchy rain possible
97,2015-01-13,300,Light rain shower
98,2015-01-13,600,Patchy rain possible
99,2015-01-13,900,Sunny
100,2015-01-13,1200,Partly cloudy
101,2015-01-13,1500,Patchy rain possible
102,2015-01-13,1800,Patchy rain possible
103,2015-01-13,2100,Clear
104,2015-01-14,0,Clear
105,2015-01-14,300,Clear
106,2015-01-14,600,Sunny
107,2015-01-14,900,Sunny
108,2015-01-14,1200,Partly cloudy
109,2015-01-14,1500,Patchy rain possible
110,2015-01-14,1800,Patchy rain possible
111,2015-01-14,2100,Patchy rain possible
112,2015-01-15,0,Mist
113,2015-01-15,300,Mist
114,2015-01-15,600,Sunny
115,2015-01-15,900,Sunny
116,2015-01-15,1200,Sunny
117,2015-01-15,1500,Sunny
118,2015-01-15,1800,Clear
119,2015-01-15,2100,Clear
120,2015-01-16,0,Partly cloudy
121,2015-01-16,300,Clear
122,2015-01-16,600,Sunny
123,2015-01-16,900,Sunny
124,2015-01-16,1200,Sunny
125,2015-01-16,1500,Sunny
126,2015-01-16,1800,Clear
127,2015-01-16,2100,Clear
128,2015-01-17,0,Clear
129,2015-01-17,300,Clear
130,2015-01-17,600,Sunny
131,2015-01-17,900,Sunny
132,2015-01-17,1200,Sunny
133,2015-01-17,1500,Partly cloudy
134,2015-01-17,1800,Clear
135,2015-01-17,2100,Partly cloudy
